"Statistic Label","Year","Settlements","UNIT","VALUE"
"Number of New Dwelling Completions","2012","Slane, Co Meath","Number","0"
"Number of New Dwelling Completions","2012","Kentstown, Co Meath","Number","2"
"Number of New Dwelling Completions","2012","Oldcastle, Co Meath","Number","0"
"Number of New Dwelling Completions","2012","Trim, Co Meath","Number","1"
"Number of New Dwelling Completions","2012","Athboy, Co Meath","Number","0"
"Number of New Dwelling Completions","2012","Enfield, Co Meath","Number","0"
"Number of New Dwelling Completions","2012","Ballivor, Co Meath","Number","0"
"Number of New Dwelling Completions","2012","Rathmolyon, Co Meath","Number","0"
"Number of New Dwelling Completions","2012","Summerhill, Co Meath","Number","0"
"Number of New Dwelling Completions","2012","Donore, Co Meath","Number","0"
"Number of New Dwelling Completions","2012","Kildalkey, Co Meath","Number","0"
"Number of New Dwelling Completions","2012","Longwood, Co Meath","Number","0"
"Number of New Dwelling Completions","2012","Clonard, Co Meath","Number","0"
"Number of New Dwelling Completions","2012","Kilmainham, Co Meath","Number","0"
"Number of New Dwelling Completions","2012","Clonee Village, Co Meath","Number","0"
"Number of New Dwelling Completions","2012","Balbradagh, Co Meath","Number","0"
"Number of New Dwelling Completions","2012","Carlanstown, Co Meath","Number","0"
"Number of New Dwelling Completions","2012","Crossakeel, Co Meath","Number","0"
"Number of New Dwelling Completions","2012","Dunderry, Co Meath","Number","0"
"Number of New Dwelling Completions","2012","Ballycumber, Co Offaly","Number","0"
"Number of New Dwelling Completions","2012","Banagher, Co Offaly","Number","0"
"Number of New Dwelling Completions","2012","Cloghan, Co Offaly","Number","0"
"Number of New Dwelling Completions","2012","Ferbane, Co Offaly","Number","0"
"Number of New Dwelling Completions","2012","Kilcormac or Frankford, Co Offaly","Number","1"
"Number of New Dwelling Completions","2012","Kinnitty, Co Offaly","Number","0"
"Number of New Dwelling Completions","2012","Belmont, Co Offaly","Number","0"
"Number of New Dwelling Completions","2012","Shannonbridge, Co Offaly","Number","0"
"Number of New Dwelling Completions","2012","Bracknagh, Co Offaly","Number","0"
"Number of New Dwelling Completions","2012","Clonbullogue, Co Offaly","Number","0"
"Number of New Dwelling Completions","2012","Edenderry, Co Offaly","Number","4"
"Number of New Dwelling Completions","2012","Rhode, Co Offaly","Number","1"
"Number of New Dwelling Completions","2012","Moneygall, Co Offaly","Number","0"
"Number of New Dwelling Completions","2012","Shinrone, Co Offaly","Number","0"
"Number of New Dwelling Completions","2012","Tullamore, Co Offaly","Number","5"
"Number of New Dwelling Completions","2012","Clara, Co Offaly","Number","1"
"Number of New Dwelling Completions","2012","Walsh Island or Coolagary, Co Offaly","Number","0"
"Number of New Dwelling Completions","2012","Daingean, Co Offaly","Number","0"
"Number of New Dwelling Completions","2012","Geashill, Co Offaly","Number","0"
"Number of New Dwelling Completions","2012","Mucklagh, Co Offaly","Number","0"
"Number of New Dwelling Completions","2012","Killeigh, Co Offaly","Number","0"
"Number of New Dwelling Completions","2012","Pollagh, Co Offaly","Number","0"
"Number of New Dwelling Completions","2012","Ballinagar, Co Offaly","Number","0"
"Number of New Dwelling Completions","2012","Killurin, Co Offaly","Number","0"
"Number of New Dwelling Completions","2012","Clonygowan, Co Offaly","Number","1"
"Number of New Dwelling Completions","2012","Crinkle, Co Offaly","Number","0"
"Number of New Dwelling Completions","2012","Moate, Co Westmeath","Number","0"
"Number of New Dwelling Completions","2012","Castlepollard, Co Westmeath","Number","1"
"Number of New Dwelling Completions","2012","Clonmellon, Co Westmeath","Number","0"
"Number of New Dwelling Completions","2012","Delvin, Co Westmeath","Number","0"
"Number of New Dwelling Completions","2012","Raharney, Co Westmeath","Number","0"
"Number of New Dwelling Completions","2012","Ballynacargy, Co Westmeath","Number","0"
"Number of New Dwelling Completions","2012","Kilbeggan, Co Westmeath","Number","0"
"Number of New Dwelling Completions","2012","Killucan-Rathwire, Co Westmeath","Number","0"
"Number of New Dwelling Completions","2012","Kinnegad, Co Westmeath","Number","0"
"Number of New Dwelling Completions","2012","Mullingar, Co Westmeath","Number","2"
"Number of New Dwelling Completions","2012","Rochfortbridge, Co Westmeath","Number","0"
"Number of New Dwelling Completions","2012","Tyrrellspass, Co Westmeath","Number","0"
"Number of New Dwelling Completions","2012","Glassan, Co Westmeath","Number","0"
"Number of New Dwelling Completions","2012","Ballymore, Co Westmeath","Number","0"
"Number of New Dwelling Completions","2012","Collinstown, Co Westmeath","Number","0"
"Number of New Dwelling Completions","2012","Multyfarnham, Co Westmeath","Number","0"
"Number of New Dwelling Completions","2012","Baylin, Co Westmeath","Number","1"
"Number of New Dwelling Completions","2012","Castletown Geoghegan, Co Westmeath","Number","0"
"Number of New Dwelling Completions","2012","Ballinalack, Co Westmeath","Number","0"
"Number of New Dwelling Completions","2012","Rathowen, Co Westmeath","Number","0"
"Number of New Dwelling Completions","2012","Enniscorthy, Co Wexford","Number","1"
"Number of New Dwelling Completions","2012","Clonroche, Co Wexford","Number","0"
"Number of New Dwelling Completions","2012","Oilgate, Co Wexford","Number","0"
"Number of New Dwelling Completions","2012","Ferns, Co Wexford","Number","1"
"Number of New Dwelling Completions","2012","Ballycanew, Co Wexford","Number","0"
"Number of New Dwelling Completions","2012","Camolin, Co Wexford","Number","0"
"Number of New Dwelling Completions","2012","Coolgreany, Co Wexford","Number","0"
"Number of New Dwelling Completions","2012","Courtown Harbour-Riverchapel-Ardamine, Co Wexford","Number","4"
"Number of New Dwelling Completions","2012","Gorey, Co Wexford","Number","1"
"Number of New Dwelling Completions","2012","Kilmuckeridge or Ford, Co Wexford","Number","0"
"Number of New Dwelling Completions","2012","Ballyhack, Co Wexford","Number","0"
"Number of New Dwelling Completions","2012","Campile, Co Wexford","Number","1"
"Number of New Dwelling Completions","2012","Duncannon, Co Wexford","Number","1"
"Number of New Dwelling Completions","2012","Fethard-On-Sea, Co Wexford","Number","0"
"Number of New Dwelling Completions","2012","Wexford, Co Wexford","Number","8"
"Number of New Dwelling Completions","2012","Ballygeary or Rosslare Harbour, Co Wexford","Number","0"
"Number of New Dwelling Completions","2012","Bridgetown, Co Wexford","Number","0"
"Number of New Dwelling Completions","2012","Castlebridge-Blackwater, Co Wexford","Number","0"
"Number of New Dwelling Completions","2012","Kilmore Quay, Co Wexford","Number","2"
"Number of New Dwelling Completions","2012","Rosslare, Co Wexford","Number","2"
"Number of New Dwelling Completions","2012","Taghmon, Co Wexford","Number","1"
"Number of New Dwelling Completions","2012","Barntown, Co Wexford","Number","0"
"Number of New Dwelling Completions","2012","Kilrane, Co Wexford","Number","0"
"Number of New Dwelling Completions","2012","Piercetown, Co Wexford","Number","0"
"Number of New Dwelling Completions","2012","Murntown, Co Wexford","Number","1"
"Number of New Dwelling Completions","2012","Castle Ellis, Co Wexford","Number","1"
"Number of New Dwelling Completions","2012","Adamstown, Co Wexford","Number","0"
"Number of New Dwelling Completions","2012","Newbawn, Co Wexford","Number","0"
"Number of New Dwelling Completions","2012","Ballycullane, Co Wexford","Number","1"
"Number of New Dwelling Completions","2012","Clongeen, Co Wexford","Number","0"
"Number of New Dwelling Completions","2012","Danescastle, Co Wexford","Number","0"
"Number of New Dwelling Completions","2012","Grahormac, Co Wexford","Number","0"
"Number of New Dwelling Completions","2012","Ballysimon, Co Wexford","Number","1"
"Number of New Dwelling Completions","2012","Arthurstown, Co Wexford","Number","0"
"Number of New Dwelling Completions","2012","Oulart, Co Wexford","Number","0"
"Number of New Dwelling Completions","2012","Kilmyshall, Co Wexford","Number","0"
"Number of New Dwelling Completions","2012","Killinierin, Co Wexford","Number","0"
"Number of New Dwelling Completions","2012","Ballyedmond, Co Wexford","Number","0"
"Number of New Dwelling Completions","2012","Ballymurn, Co Wexford","Number","0"
"Number of New Dwelling Completions","2012","Bree, Co Wexford","Number","0"
"Number of New Dwelling Completions","2012","The Ballagh, Co Wexford","Number","0"
"Number of New Dwelling Completions","2012","Ballyhogue, Co Wexford","Number","0"
"Number of New Dwelling Completions","2012","Killurin, Co Wexford","Number","0"
"Number of New Dwelling Completions","2012","Duncormick, Co Wexford","Number","0"
"Number of New Dwelling Completions","2012","Kilmore, Co Wexford","Number","0"
"Number of New Dwelling Completions","2012","Baltinglass, Co Wicklow","Number","0"
"Number of New Dwelling Completions","2012","Dunlavin, Co Wicklow","Number","0"
"Number of New Dwelling Completions","2012","Donard, Co Wicklow","Number","0"
"Number of New Dwelling Completions","2012","Greystones-Delgany, Co Wicklow","Number","27"
"Number of New Dwelling Completions","2012","Kilmacanogue, Co Wicklow","Number","0"
"Number of New Dwelling Completions","2012","EnnisKerry, Co Wicklow","Number","1"
"Number of New Dwelling Completions","2012","Arklow, Co Wicklow","Number","2"
"Number of New Dwelling Completions","2012","Wicklow, Co Wicklow","Number","1"
"Number of New Dwelling Completions","2012","Ashford, Co Wicklow","Number","1"
"Number of New Dwelling Completions","2012","Aughrim, Co Wicklow","Number","0"
"Number of New Dwelling Completions","2012","Avoca, Co Wicklow","Number","0"
"Number of New Dwelling Completions","2012","Glenealy, Co Wicklow","Number","0"
"Number of New Dwelling Completions","2012","Kilcoole, Co Wicklow","Number","15"
"Number of New Dwelling Completions","2012","Kilpedder, Co Wicklow","Number","0"
"Number of New Dwelling Completions","2012","Newtownmountkennedy, Co Wicklow","Number","3"
"Number of New Dwelling Completions","2012","Rathdrum, Co Wicklow","Number","0"
"Number of New Dwelling Completions","2012","Rathnew, Co Wicklow","Number","0"
"Number of New Dwelling Completions","2012","Roundwood, Co Wicklow","Number","1"
"Number of New Dwelling Completions","2012","Laragh, Co Wicklow","Number","0"
"Number of New Dwelling Completions","2012","Newcastle, Co Wicklow","Number","0"
"Number of New Dwelling Completions","2012","Carnew, Co Wicklow","Number","0"
"Number of New Dwelling Completions","2012","Tinahely, Co Wicklow","Number","0"
"Number of New Dwelling Completions","2012","Shillelagh, Co Wicklow","Number","1"
"Number of New Dwelling Completions","2012","Stratford, Co Wicklow","Number","0"
"Number of New Dwelling Completions","2012","Redcross, Co Wicklow","Number","0"
"Number of New Dwelling Completions","2012","Manor Kilbride, Co Wicklow","Number","1"
"Number of New Dwelling Completions","2012","Barndarrig, Co Wicklow","Number","0"
"Number of New Dwelling Completions","2012","Ballinaclash, Co Wicklow","Number","1"
"Number of New Dwelling Completions","2012","Coolboy, Co Wicklow","Number","1"
"Number of New Dwelling Completions","2012","Knockananna, Co Wicklow","Number","0"
"Number of New Dwelling Completions","2012","Ballyknockan, Co Wicklow","Number","0"
"Number of New Dwelling Completions","2012","Ballyvaughan, Co Clare","Number","0"
"Number of New Dwelling Completions","2012","Lisdoonvarna, Co Clare","Number","0"
"Number of New Dwelling Completions","2012","Corrofin, Co Clare","Number","0"
"Number of New Dwelling Completions","2012","Ennis, Co Clare","Number","3"
"Number of New Dwelling Completions","2012","Newmarket-On-Fergus, Co Clare","Number","0"
"Number of New Dwelling Completions","2012","Shannon, Co Clare","Number","14"
"Number of New Dwelling Completions","2012","Sixmilebridge, Co Clare","Number","0"
"Number of New Dwelling Completions","2012","Ennistimon, Co Clare","Number","1"
"Number of New Dwelling Completions","2012","Lehinch, Co Clare","Number","1"
"Number of New Dwelling Completions","2012","Miltown Malbay, Co Clare","Number","1"
"Number of New Dwelling Completions","2012","Kildysart, Co Clare","Number","0"
"Number of New Dwelling Completions","2012","Kilrush, Co Clare","Number","1"
"Number of New Dwelling Completions","2012","Doonbeg, Co Clare","Number","0"
"Number of New Dwelling Completions","2012","Kilkee, Co Clare","Number","1"
"Number of New Dwelling Completions","2012","Kilmihill, Co Clare","Number","0"
"Number of New Dwelling Completions","2012","Quilty, Co Clare","Number","1"
"Number of New Dwelling Completions","2012","Ardnacrusha or Castlebank, Co Clare","Number","0"
"Number of New Dwelling Completions","2012","Ballycannan, Co Clare","Number","0"
"Number of New Dwelling Completions","2012","Clonlara, Co Clare","Number","0"
"Number of New Dwelling Completions","2012","Cratloe, Co Clare","Number","2"
"Number of New Dwelling Completions","2012","Feakle, Co Clare","Number","0"
"Number of New Dwelling Completions","2012","Killaloe, Co Clare","Number","1"
"Number of New Dwelling Completions","2012","Scarriff-Tuamgraney, Co Clare","Number","1"
"Number of New Dwelling Completions","2012","Whitegate, Co Clare","Number","0"
"Number of New Dwelling Completions","2012","Kilkishen, Co Clare","Number","0"
"Number of New Dwelling Completions","2012","Quin, Co Clare","Number","2"
"Number of New Dwelling Completions","2012","Tulla, Co Clare","Number","0"
"Number of New Dwelling Completions","2012","Ardskeagh, Co Clare","Number","0"
"Number of New Dwelling Completions","2012","Kilfenora, Co Clare","Number","0"
"Number of New Dwelling Completions","2012","Liscannor, Co Clare","Number","0"
"Number of New Dwelling Completions","2012","Kilmurry, Co Clare","Number","0"
"Number of New Dwelling Completions","2012","Mountshannon, Co Clare","Number","0"
"Number of New Dwelling Completions","2012","Inagh, Co Clare","Number","0"
"Number of New Dwelling Completions","2012","Crusheen, Co Clare","Number","0"
"Number of New Dwelling Completions","2012","Lissycasey, Co Clare","Number","0"
"Number of New Dwelling Completions","2012","Bunratty, Co Clare","Number","1"
"Number of New Dwelling Completions","2012","Kilmaley, Co Clare","Number","0"
"Number of New Dwelling Completions","2012","Ballineen-Enniskean, Co Cork","Number","1"
"Number of New Dwelling Completions","2012","Bandon, Co Cork","Number","5"
"Number of New Dwelling Completions","2012","Crookstown, Co Cork","Number","0"
