"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C01921V02511","Type of Construction","UNIT","VALUE"
"BHQ03C1","Planning Permissions Granted","19822","1982Q2","11","Dwellings","Number","3618"
"BHQ03C1","Planning Permissions Granted","19822","1982Q2","12","Other new construction (excluding dwellings)","Number","1113"
"BHQ03C1","Planning Permissions Granted","19822","1982Q2","2","Extensions","Number","2785"
"BHQ03C1","Planning Permissions Granted","19822","1982Q2","3","Alteration, conversion and renovation","Number","718"
"BHQ03C1","Planning Permissions Granted","19823","1982Q3","-","All types of construction","Number","8499"
"BHQ03C1","Planning Permissions Granted","19823","1982Q3","11","Dwellings","Number","3710"
"BHQ03C1","Planning Permissions Granted","19823","1982Q3","12","Other new construction (excluding dwellings)","Number","1147"
"BHQ03C1","Planning Permissions Granted","19823","1982Q3","2","Extensions","Number","2841"
"BHQ03C1","Planning Permissions Granted","19823","1982Q3","3","Alteration, conversion and renovation","Number","801"
"BHQ03C1","Planning Permissions Granted","19824","1982Q4","-","All types of construction","Number","6753"
"BHQ03C1","Planning Permissions Granted","19824","1982Q4","11","Dwellings","Number","2777"
"BHQ03C1","Planning Permissions Granted","19824","1982Q4","12","Other new construction (excluding dwellings)","Number","985"
"BHQ03C1","Planning Permissions Granted","19824","1982Q4","2","Extensions","Number","2276"
"BHQ03C1","Planning Permissions Granted","19824","1982Q4","3","Alteration, conversion and renovation","Number","715"
"BHQ03C1","Planning Permissions Granted","19831","1983Q1","-","All types of construction","Number","5835"
"BHQ03C1","Planning Permissions Granted","19831","1983Q1","11","Dwellings","Number","2529"
"BHQ03C1","Planning Permissions Granted","19831","1983Q1","12","Other new construction (excluding dwellings)","Number","850"
"BHQ03C1","Planning Permissions Granted","19831","1983Q1","2","Extensions","Number","1800"
"BHQ03C1","Planning Permissions Granted","19831","1983Q1","3","Alteration, conversion and renovation","Number","656"
"BHQ03C1","Planning Permissions Granted","19832","1983Q2","-","All types of construction","Number","8160"
"BHQ03C1","Planning Permissions Granted","19832","1983Q2","11","Dwellings","Number","3642"
"BHQ03C1","Planning Permissions Granted","19832","1983Q2","12","Other new construction (excluding dwellings)","Number","1108"
"BHQ03C1","Planning Permissions Granted","19832","1983Q2","2","Extensions","Number","2624"
"BHQ03C1","Planning Permissions Granted","19832","1983Q2","3","Alteration, conversion and renovation","Number","786"
"BHQ03C1","Planning Permissions Granted","19833","1983Q3","-","All types of construction","Number","6816"
"BHQ03C1","Planning Permissions Granted","19833","1983Q3","11","Dwellings","Number","2910"
