"STATISTIC","Statistic Label","TLIST(M1)","Month","C01947V02657","Local Authority","C02424V02930","Residential Units Commenced","UNIT","VALUE"
"HSM13","Commencement Notices","201404","2014 April","08","Kerry (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201404","2014 April","09","Kildare (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201404","2014 April","09","Kildare (County Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201404","2014 April","09","Kildare (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201404","2014 April","10","Kilkenny (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201404","2014 April","10","Kilkenny (County Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201404","2014 April","10","Kilkenny (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201404","2014 April","11","Laois (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201404","2014 April","11","Laois (County Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201404","2014 April","11","Laois (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201404","2014 April","12","Leitrim (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201404","2014 April","12","Leitrim (County Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201404","2014 April","12","Leitrim (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201404","2014 April","14","Longford (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201404","2014 April","14","Longford (County Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201404","2014 April","14","Longford (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201404","2014 April","15","Louth (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201404","2014 April","15","Louth (County Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201404","2014 April","15","Louth (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201404","2014 April","16","Mayo (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201404","2014 April","16","Mayo (County Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201404","2014 April","16","Mayo (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201404","2014 April","17","Meath (County Council)","03","Number of notices for residential development","Number","1"
"HSM13","Commencement Notices","201404","2014 April","17","Meath (County Council)","04","Number of residential units","Number","4"
"HSM13","Commencement Notices","201404","2014 April","17","Meath (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201404","2014 April","18","Monaghan (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201404","2014 April","18","Monaghan (County Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201404","2014 April","18","Monaghan (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201404","2014 April","19","Offaly (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201404","2014 April","19","Offaly (County Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201404","2014 April","19","Offaly (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201404","2014 April","20","Roscommon (County Council)","03","Number of notices for residential development","Number","1"
"HSM13","Commencement Notices","201404","2014 April","20","Roscommon (County Council)","04","Number of residential units","Number","1"
"HSM13","Commencement Notices","201404","2014 April","20","Roscommon (County Council)","05","Number of one-off residential units","Number","1"
"HSM13","Commencement Notices","201404","2014 April","21","Sligo (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201404","2014 April","21","Sligo (County Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201404","2014 April","21","Sligo (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201404","2014 April","25","Westmeath (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201404","2014 April","25","Westmeath (County Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201404","2014 April","25","Westmeath (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201404","2014 April","26","Wexford (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201404","2014 April","26","Wexford (County Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201404","2014 April","26","Wexford (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201404","2014 April","27","Wicklow (County Council)","03","Number of notices for residential development","Number","3"
"HSM13","Commencement Notices","201404","2014 April","27","Wicklow (County Council)","04","Number of residential units","Number","16"
"HSM13","Commencement Notices","201404","2014 April","27","Wicklow (County Council)","05","Number of one-off residential units","Number","2"
"HSM13","Commencement Notices","201404","2014 April","29","Cork (City Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201404","2014 April","29","Cork (City Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201404","2014 April","29","Cork (City Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201404","2014 April","30","Dublin (City Council)","03","Number of notices for residential development","Number","1"
"HSM13","Commencement Notices","201404","2014 April","30","Dublin (City Council)","04","Number of residential units","Number","14"
"HSM13","Commencement Notices","201404","2014 April","30","Dublin (City Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201404","2014 April","32","Dun Laoire/Rathdown (County Council)","03","Number of notices for residential development","Number","1"
"HSM13","Commencement Notices","201404","2014 April","32","Dun Laoire/Rathdown (County Council)","04","Number of residential units","Number","3"
"HSM13","Commencement Notices","201404","2014 April","32","Dun Laoire/Rathdown (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201404","2014 April","33","Galway (City Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201404","2014 April","33","Galway (City Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201404","2014 April","33","Galway (City Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201404","2014 April","88","South Dublin Co. Co. (County Council)","03","Number of notices for residential development","Number","1"
"HSM13","Commencement Notices","201404","2014 April","88","South Dublin Co. Co. (County Council)","04","Number of residential units","Number","1"
"HSM13","Commencement Notices","201404","2014 April","88","South Dublin Co. Co. (County Council)","05","Number of one-off residential units","Number","1"
"HSM13","Commencement Notices","201404","2014 April","90","Limerick City and County","03","Number of notices for residential development","Number","1"
"HSM13","Commencement Notices","201404","2014 April","90","Limerick City and County","04","Number of residential units","Number","1"
"HSM13","Commencement Notices","201404","2014 April","90","Limerick City and County","05","Number of one-off residential units","Number","1"
"HSM13","Commencement Notices","201404","2014 April","91","Waterford City and County","03","Number of notices for residential development","Number","4"
"HSM13","Commencement Notices","201404","2014 April","91","Waterford City and County","04","Number of residential units","Number","5"
"HSM13","Commencement Notices","201404","2014 April","91","Waterford City and County","05","Number of one-off residential units","Number","3"
"HSM13","Commencement Notices","201404","2014 April","92","Tipperary County","03","Number of notices for residential development","Number","2"
